-20000.0000000000	0.0000169441	92.3710119723	0.0393587631	0.1741990903
-18000.0000000000	0.0000148529	91.8136027830	0.0367570590	0.1043885250
-16000.0000000000	0.0000127053	91.7763550218	0.0339687422	0.1200070934
-14000.0000000000	0.0000107929	93.8528663382	0.0311638653	0.1102753179
-12000.0000000000	0.0000087517	93.5511344655	0.0281963751	0.0803622043
-10000.0000000000	0.0000068509	93.4047760126	0.0251035493	0.0479629459
-8000.0000000000	0.0000051689	95.1238237064	0.0218941269	0.0083030882
-6000.0000000000	0.0000032095	95.8752495650	0.0186169047	-0.0742814134
-4000.0000000000	0.0000014806	102.2088900055	0.0152346884	-0.1490586904
-2000.0000000000	0.0000003110	-146.3220023819	0.0117719658	-0.2823054000
0.0000000000	0.0000017675	-100.9744961628	0.0082508975	-0.5620583663
2000.0000000000	0.0000032792	-93.4692947457	0.0047141705	-1.1804076697
4000.0000000000	0.0000047583	-92.0838043760	0.0011588693	-6.2623512680
6000.0000000000	0.0000059285	-92.5397467417	0.0024196803	-176.4973124826
8000.0000000000	0.0000071351	-91.6639457877	0.0059549384	-178.4202064190
10000.0000000000	0.0000081706	-90.6038132868	0.0094740379	-178.8451320336
12000.0000000000	0.0000093294	-91.0839704520	0.0129529568	-179.1173531272
14000.0000000000	0.0000102313	-89.9898677864	0.0163810379	-179.2396131033
16000.0000000000	0.0000111173	-91.0849142247	0.0197669595	-179.2708571665
18000.0000000000	0.0000117816	-90.2073045974	0.0230869979	-179.3502960806
20000.0000000000	0.0000123958	-89.4445093412	0.0262847394	-179.3743060263
18000.0000000000	0.0000117742	-89.7588222778	0.0230732234	-179.3443590480
16000.0000000000	0.0000110237	-89.9637265607	0.0197614235	-179.2800913590
14000.0000000000	0.0000102890	-90.6086103933	0.0163917891	-179.2148405758
12000.0000000000	0.0000094198	-89.7637510124	0.0129177563	-179.0979375407
