MoTe2 scan
Current Position 
70.000
R(V)	Theta
0.001070	-50.277956
0.001070	-50.258896
0.001071	-50.240127
0.001071	-50.221467
0.001072	-50.202931
0.001072	-50.184604
0.001073	-50.166469
0.001073	-50.148548
0.001074	-50.131110
0.001075	-50.114276
0.001075	-50.097938
0.001076	-50.082041
0.001077	-50.066719
0.001077	-50.052236
0.001078	-50.038688
0.001079	-50.026145
0.001079	-50.014467
0.001080	-50.003984
0.001081	-49.994360
0.001082	-49.985767
0.001082	-49.978308
0.001083	-49.972109
0.001084	-49.967175
0.001084	-49.963682
0.001085	-49.961368
Mean R	Std.Dev R
0.001071	5.491893E-6
Mean T	Std.Dev T
-50.248621	0.177048
Current Position 
69.955
R(V)	Theta
0.001095	-50.115604
0.001094	-50.116054
0.001094	-50.116697
0.001093	-50.117493
0.001092	-50.118187
0.001092	-50.118820
0.001091	-50.119515
0.001091	-50.120124
0.001090	-50.120471
0.001089	-50.120580
0.001089	-50.120598
0.001088	-50.120540
0.001087	-50.120253
0.001087	-50.119462
0.001086	-50.117772
0.001086	-50.115158
0.001085	-50.111762
0.001084	-50.107901
0.001084	-50.103488
0.001083	-50.098385
0.001083	-50.092414
0.001082	-50.085604
0.001082	-50.077974
0.001082	-50.069692
0.001081	-50.061025
0.001081	-50.052255
0.001081	-50.043685
0.001080	-50.035498
0.001080	-50.027906
0.001080	-50.020745
0.001080	-50.013812
0.001080	-50.007034
0.001080	-50.000554
0.001080	-49.994352
0.001080	-49.988249
0.001080	-49.982272
0.001080	-49.976281
0.001081	-49.970018
0.001081	-49.963342
0.001081	-49.956232
0.001082	-49.948963
0.001082	-49.941685
0.001083	-49.934346
0.001083	-49.926664
0.001084	-49.918946
0.001084	-49.911007
0.001085	-49.902507
0.001085	-49.893391
0.001086	-49.883919
0.001086	-49.874254
0.001087	-49.864633
0.001087	-49.855196
0.001088	-49.845980
0.001089	-49.836921
0.001089	-49.828159
0.001090	-49.819710
0.001090	-49.811668
0.001091	-49.803959
0.001091	-49.796859
0.001092	-49.790526
0.001093	-49.784858
0.001093	-49.780041
0.001093	-49.776478
0.001094	-49.774289
0.001094	-49.773372
0.001095	-49.773685
0.001095	-49.774950
0.001096	-49.777190
0.001096	-49.780209
0.001097	-49.783524
0.001097	-49.786823
0.001098	-49.789975
0.001098	-49.793257
0.001099	-49.796952
0.001099	-49.801482
0.001100	-49.806915
0.001100	-49.813293
0.001100	-49.820514
0.001101	-49.828757
0.001101	-49.838163
0.001101	-49.848591
0.001102	-49.860000
0.001102	-49.872073
0.001102	-49.884449
0.001102	-49.896714
0.001102	-49.908911
0.001102	-49.921031
0.001102	-49.933018
0.001102	-49.944868
0.001102	-49.956572
0.001102	-49.968009
0.001102	-49.979182
0.001102	-49.990292
0.001102	-50.001470
0.001102	-50.012918
0.001102	-50.024380
0.001102	-50.035625
0.001102	-50.046596
0.001102	-50.057255
0.001102	-50.067627
Mean R	Std.Dev R
0.001091	7.946151E-6
Mean T	Std.Dev T
-49.951914	0.121412
Current Position 
69.940
R(V)	Theta
0.001106	-49.838784
0.001106	-49.831990
0.001106	-49.825772
0.001106	-49.820322
0.001106	-49.815695
0.001106	-49.811832
0.001106	-49.808840
0.001106	-49.806811
0.001106	-49.805669
0.001106	-49.805648
0.001106	-49.806609
0.001105	-49.808356
0.001105	-49.811131
0.001105	-49.815143
0.001105	-49.820211
0.001105	-49.826108
0.001105	-49.832891
0.001104	-49.840829
0.001104	-49.849896
0.001104	-49.859622
0.001104	-49.869889
0.001103	-49.880688
0.001103	-49.891835
0.001102	-49.903353
0.001102	-49.915352
0.001102	-49.927658
0.001101	-49.940594
0.001101	-49.954290
0.001100	-49.968670
0.001100	-49.983802
0.001100	-49.999354
0.001099	-50.014967
0.001099	-50.030227
0.001099	-50.044689
0.001099	-50.058439
0.001098	-50.071592
0.001098	-50.084392
0.001098	-50.096757
0.001098	-50.108806
0.001098	-50.120509
0.001098	-50.131588
0.001098	-50.142062
0.001098	-50.151840
0.001098	-50.160859
0.001099	-50.169074
0.001099	-50.176318
0.001099	-50.182201
0.001099	-50.186929
0.001100	-50.190631
