#Sample	WS2
#LaserPower (mW)	0.5
#NumGates	30
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	5922.467	74.807
5.000	12975.500	135.435
10.000	17607.733	188.320
15.000	16399.367	163.634
20.000	11803.267	138.952
25.000	9753.100	118.428
30.000	13444.633	135.627
35.000	20621.267	196.380
40.000	25055.033	213.287
45.000	22323.333	190.790
50.000	14444.700	142.232
55.000	7392.833	133.858
60.000	5089.833	85.016
65.000	6897.133	100.207
70.000	8341.967	117.713
75.000	6583.967	78.507
80.000	2939.033	49.765
85.000	2062.600	42.630
90.000	6053.333	95.332
95.000	12917.833	143.393
100.000	17510.900	174.744
105.000	16787.767	162.395
110.000	12844.867	141.110
115.000	11148.700	98.792
120.000	14932.833	234.301
125.000	20880.800	284.606
130.000	23678.300	232.813
135.000	19522.267	275.434
140.000	11484.233	115.985
145.000	5019.633	89.468
150.000	4376.300	90.771
155.000	7891.533	94.992
160.000	10193.867	109.930
165.000	7961.800	117.245
170.000	3280.300	57.138
175.000	1369.800	41.475
180.000	5222.133	109.506
