-8000.0000000000	0.0000040773	93.5443435712	0.0128592052	0.2517372196
-7800.0000000000	0.0000040110	94.2913839554	0.0126474633	0.2310901103
-7600.0000000000	0.0000038533	95.0755937094	0.0124666274	0.2156808430
-7400.0000000000	0.0000038011	93.3720334076	0.0122559572	0.2301742395
-7200.0000000000	0.0000037083	92.7437508563	0.0120406343	0.2359931159
-7000.0000000000	0.0000034646	92.0217442381	0.0118477392	0.2097729719
-6800.0000000000	0.0000034922	92.9302379194	0.0116410101	0.1665768390
-6600.0000000000	0.0000034498	93.4192851669	0.0114609842	0.1654969030
-6400.0000000000	0.0000032271	93.8178995988	0.0112433419	0.1228968747
-6200.0000000000	0.0000032216	95.2569982767	0.0110183851	0.1049840146
-6000.0000000000	0.0000030893	94.5725205081	0.0108240020	0.0890060013
-5800.0000000000	0.0000030493	93.7678559558	0.0105946803	0.0662398647
-5600.0000000000	0.0000028985	94.3981247696	0.0103889519	0.0387302473
-5400.0000000000	0.0000027118	96.1044801296	0.0102340386	0.1697640998
-5200.0000000000	0.0000026490	94.8893408250	0.0099288383	0.1396719977
-5000.0000000000	0.0000025757	95.1569190079	0.0097085184	0.1222764566
-4800.0000000000	0.0000023488	95.5857397345	0.0094933843	0.0887311947
-4600.0000000000	0.0000021925	96.8916755249	0.0092732016	0.0203041285
-4400.0000000000	0.0000023297	97.7363681351	0.0090347684	0.0370693725
-4200.0000000000	0.0000021134	96.8461636264	0.0088087938	0.0000782202
-4000.0000000000	0.0000019632	95.2992897022	0.0085852744	-0.0374029072
-3800.0000000000	0.0000020018	93.6251329783	0.0083752724	-0.0753948169
-3600.0000000000	0.0000017417	98.5476047667	0.0081462733	-0.1059217690
-3400.0000000000	0.0000016995	95.4795553279	0.0079153732	-0.1441338557
-3200.0000000000	0.0000016730	100.3953418578	0.0076973650	-0.1685839887
-3000.0000000000	0.0000016313	97.5524652478	0.0074627059	-0.2818669986
-2800.0000000000	0.0000012864	97.1803382108	0.0072337054	-0.2569956068
-2600.0000000000	0.0000011682	102.6493056821	0.0070111403	-0.3074113875
-2400.0000000000	0.0000012797	101.9226678688	0.0067902733	-0.3441759148
-2200.0000000000	0.0000011501	100.3099888077	0.0065618603	-0.4120938439
-2000.0000000000	0.0000008732	95.4423291741	0.0063427133	-0.4493011725
-1800.0000000000	0.0000008363	98.4371544694	0.0061214321	-0.4933630331
-1600.0000000000	0.0000008074	109.4259762901	0.0058864977	-0.5640077920
-1400.0000000000	0.0000007282	104.8455281296	0.0056179280	0.2957395924
-1200.0000000000	0.0000005704	119.3811755288	0.0053906457	0.2530630049
-1000.0000000000	0.0000004353	116.6303409050	0.0051681217	0.2615831388
-800.0000000000	0.0000003241	102.3732630444	0.0049424225	0.1902456333
-600.0000000000	0.0000002625	133.3712105247	0.0047463673	-0.7350604771
-400.0000000000	0.0000003114	127.0135429657	0.0045243836	-0.8650791491
-200.0000000000	0.0000000669	-166.8736240474	0.0042934213	-1.0013989848
0.0000000000	0.0000001895	-76.0429854833	0.0040697148	-1.1193367850
200.0000000000	0.0000001315	-94.4721476442	0.0038423129	-1.2265665201
400.0000000000	0.0000004134	-115.7584640619	0.0036174255	-1.3613714400
600.0000000000	0.0000005542	-121.8305220853	0.0033964030	-1.5273506600
800.0000000000	0.0000005506	-110.1278426867	0.0031631552	-1.6905125565
1000.0000000000	0.0000005953	-95.1449696481	0.0029385665	-1.8497193191
1200.0000000000	0.0000008204	-100.4672429509	0.0027138112	-2.1177256386
1400.0000000000	0.0000008436	-108.2476903211	0.0024949671	-2.3614553263
1600.0000000000	0.0000010761	-106.6214704561	0.0022686629	-2.6824451172
1800.0000000000	0.0000009755	-101.8370323547	0.0020462090	-3.0599413355
2000.0000000000	0.0000011720	-96.5886575917	0.0018212876	-3.5277378056
2200.0000000000	0.0000012605	-95.4485087204	0.0015945675	-4.1164561487
2400.0000000000	0.0000013419	-95.6449069484	0.0013696588	-4.9251802008
2600.0000000000	0.0000013942	-98.1003993845	0.0011448148	-6.0518302821
2800.0000000000	0.0000013428	-95.6438649603	0.0009186807	-7.7348592374
3000.0000000000	0.0000016141	-94.2777329033	0.0006966262	-10.4568005329
3200.0000000000	0.0000017355	-96.4620916366	0.0004723588	-15.9127767615
3400.0000000000	0.0000017811	-97.2160483981	0.0002619527	-30.2593658075
3600.0000000000	0.0000018592	-96.6047138176	0.0001346300	-91.9101096939
3800.0000000000	0.0000019474	-93.8024788835	0.0002716014	-149.3729235668
4000.0000000000	0.0000021001	-96.7073567379	0.0004899228	-163.2563552616
4200.0000000000	0.0000022118	-92.7959085770	0.0007131219	-168.3798328069
4400.0000000000	0.0000023078	-91.2084541263	0.0009403633	-171.0226416768
4600.0000000000	0.0000024206	-93.2231861876	0.0011674202	-172.6542665029
4800.0000000000	0.0000025666	-93.7125569358	0.0014044687	-173.6327591319
5000.0000000000	0.0000027357	-91.1680708746	0.0016301656	-174.4707140281
5200.0000000000	0.0000028082	-89.4022538866	0.0018568528	-175.0640577046
5400.0000000000	0.0000028718	-89.1203648837	0.0020881706	-175.4767135739
5600.0000000000	0.0000030292	-88.3242690379	0.0023235767	-175.8199873714
5800.0000000000	0.0000030427	-94.3579768289	0.0025599314	-176.1001129431
6000.0000000000	0.0000031081	-90.0523248623	0.0027873657	-176.3667537721
6200.0000000000	0.0000032057	-91.8757762358	0.0030447461	-176.6495963814
6400.0000000000	0.0000032667	-92.6318944276	0.0032598722	-176.7420488861
6600.0000000000	0.0000035194	-93.9927459806	0.0034779144	-177.0132505030
6800.0000000000	0.0000036177	-90.2864402161	0.0037125092	-177.1012773094
7000.0000000000	0.0000037027	-90.6421654444	0.0039515290	-177.1640616118
7200.0000000000	0.0000037397	-92.5819940499	0.0042064447	-178.5212776257
7400.0000000000	0.0000037049	-91.4246075929	0.0044185221	-178.5565072760
7600.0000000000	0.0000039032	-93.2608187616	0.0046493258	-178.5670332770
7800.0000000000	0.0000041372	-93.1244622175	0.0048714346	-178.6056221082
8000.0000000000	0.0000041176	-89.7035236864	0.0050914190	-178.5978338189
7800.0000000000	0.0000038938	-91.9443877427	0.0048740899	-178.5910937046
7600.0000000000	0.0000039879	-90.3783867218	0.0046339766	-178.5644751614
7400.0000000000	0.0000037515	-91.5183945071	0.0044126298	-178.5195900230
7200.0000000000	0.0000036535	-90.5768578903	0.0041774071	-178.5066982783
7000.0000000000	0.0000035222	-91.8176270131	0.0039447195	-178.5056889025
6800.0000000000	0.0000035112	-92.8186948558	0.0037227854	-178.5063438032
6600.0000000000	0.0000034226	-90.9071501510	0.0034761696	-178.4436792273
6400.0000000000	0.0000033330	-93.3350957947	0.0032497740	-178.3883382369
6200.0000000000	0.0000032226	-92.3490745513	0.0030184880	-178.3465273766
6000.0000000000	0.0000031139	-91.6226430008	0.0027785293	-178.2884416466
5800.0000000000	0.0000030893	-91.6707933755	0.0025579453	-178.1800606528
5600.0000000000	0.0000030567	-92.1972616107	0.0023246905	-178.1330985768
5400.0000000000	0.0000027647	-91.2201361839	0.0020864499	-177.9908310395
5200.0000000000	0.0000025833	-92.1280041126	0.0018558844	-177.8556732633
5000.0000000000	0.0000024775	-93.3619605445	0.0016198730	-177.6733495918
4800.0000000000	0.0000025568	-91.5194607926	0.0013894087	-177.4134999137
4600.0000000000	0.0000023750	-90.4489230849	0.0011538943	-177.0635057590
4400.0000000000	0.0000021596	-91.4309614254	0.0009218437	-176.5278176470
4200.0000000000	0.0000019905	-89.1804774745	0.0006872353	-175.5405806379
4000.0000000000	0.0000020025	-90.1907722685	0.0004531058	-173.6876263432
3800.0000000000	0.0000020623	-92.4686568761	0.0002199770	-167.6240126311
3600.0000000000	0.0000018096	-95.7996591001	0.0000473559	-68.8556205456
3400.0000000000	0.0000016984	-94.9057862111	0.0002481044	-9.7134051822
3200.0000000000	0.0000016662	-92.4161050936	0.0004814447	-4.6223308867
3000.0000000000	0.0000014645	-103.6670437010	0.0007129199	-2.8809105159
2800.0000000000	0.0000014028	-98.7197512351	0.0009395686	-2.0129116755
2600.0000000000	0.0000014712	-102.2749744722	0.0011720509	-1.4558324500
2400.0000000000	0.0000013669	-96.3793492033	0.0014023750	-1.1706056870
2200.0000000000	0.0000011229	-94.7762068508	0.0016332053	-0.8524105627
2000.0000000000	0.0000010676	-100.1675674731	0.0018580394	-0.6736625727
1800.0000000000	0.0000010525	-97.0349627400	0.0020922807	-0.5602052144
1600.0000000000	0.0000008381	-104.5173434879	0.0023146927	-0.3989346290
1400.0000000000	0.0000007710	-95.9633407946	0.0025400920	-0.3344653993
1200.0000000000	0.0000006293	-97.5434235440	0.0027698755	-0.2119811166
1000.0000000000	0.0000006949	-99.7746159471	0.0029931927	-0.1279122743
800.0000000000	0.0000004908	-97.2982755886	0.0032199278	-0.0746608745
600.0000000000	0.0000003038	-130.8244656823	0.0034473661	-0.0421082667
400.0000000000	0.0000003991	-99.9258085424	0.0036711669	0.0333911783
200.0000000000	0.0000002626	-166.9469232140	0.0038982819	0.0372317300
0.0000000000	0.0000002683	-166.5799606809	0.0041207908	0.1021604152
-200.0000000000	0.0000003491	167.4941967566	0.0043519720	0.1279911306
-400.0000000000	0.0000002268	175.6054719443	0.0045694326	0.1724049779
-600.0000000000	0.0000003313	130.2090612752	0.0048019137	0.2046418039
-800.0000000000	0.0000003828	113.5883221689	0.0050226512	0.2366840003
-1000.0000000000	0.0000005446	112.9993545902	0.0052463957	0.2717266230
-1200.0000000000	0.0000006268	96.7017082415	0.0054724132	0.2930995023
-1400.0000000000	0.0000007518	106.4584718753	0.0056893103	0.3203579144
-1600.0000000000	0.0000009094	98.9771906315	0.0059098702	0.3345672526
-1800.0000000000	0.0000009001	94.1759672435	0.0061308754	0.3502887679
-2000.0000000000	0.0000008897	107.9357863075	0.0063499521	0.3933619862
-2200.0000000000	0.0000011887	106.3690840839	0.0065762688	0.4045161521
-2400.0000000000	0.0000012485	93.6404159662	0.0068099280	0.4089416254
-2600.0000000000	0.0000013020	102.9085900557	0.0070239374	0.4400830399
-2800.0000000000	0.0000015202	95.4170552471	0.0072402670	0.4580250149
-3000.0000000000	0.0000016043	98.2705944933	0.0074966810	0.0192781802
-3200.0000000000	0.0000015581	98.4804863164	0.0077182134	0.0286674037
-3400.0000000000	0.0000017741	95.0603533645	0.0079337492	0.0574598196
-3600.0000000000	0.0000017917	100.8297112245	0.0081426595	0.0528662954
-3800.0000000000	0.0000018862	97.3303786289	0.0083634093	0.0450848079
-4000.0000000000	0.0000020063	95.1733085809	0.0085620656	0.0589499855
-4200.0000000000	0.0000021789	94.9683301660	0.0088063737	0.0669991984
-4400.0000000000	0.0000021032	92.9303025441	0.0090156715	0.1088606368
-4600.0000000000	0.0000023431	95.6535411595	0.0092004513	0.1343155097
-4800.0000000000	0.0000025086	93.4911566970	0.0094282988	0.2017098473
-5000.0000000000	0.0000027277	95.2411552156	0.0096422856	0.1689903065
-5200.0000000000	0.0000025922	93.6475420943	0.0098427611	0.1829056917
-5400.0000000000	0.0000027335	96.0495582450	0.0100518253	0.2048476243
-5600.0000000000	0.0000027320	93.3263933054	0.0102570276	0.2449939030
-5800.0000000000	0.0000029160	97.8348919085	0.0104536231	0.2416860628
-6000.0000000000	0.0000030059	91.2928377348	0.0106470003	0.2521689992
-6200.0000000000	0.0000032138	96.5856347206	0.0108529377	0.2867189732
-6400.0000000000	0.0000031757	93.3535327885	0.0110606465	0.2960242272
-6600.0000000000	0.0000033180	93.7972673144	0.0112394546	0.3155617444
-6800.0000000000	0.0000033784	91.9129251471	0.0114509964	0.3172717181
-7000.0000000000	0.0000035521	93.3477491384	0.0116472905	0.3491689692
-7200.0000000000	0.0000036000	94.8621027609	0.0118254873	0.3745200610
-7400.0000000000	0.0000035978	95.1402056115	0.0120152049	0.3734863679
-7600.0000000000	0.0000037463	93.4027828102	0.0122165337	0.3930433489
-7800.0000000000	0.0000038723	93.2397564260	0.0123864747	0.4312013754
-8000.0000000000	0.0000039707	93.5670364031	0.0125680382	0.4625456491
