Angle (deg)	0
18	380	2554
19	400	2512
20	420	2519
21	440	2581
22	460	2537
23	480	2559
24	500	2602
25	520	2490
26	540	2512
27	560	2523
28	580	2503
29	600	2488
30	620	2504
31	640	2537
32	660	2503
33	680	2491
34	700	2560
35	720	2564
36	740	2528
37	760	2487
38	780	2546
39	800	2632
Mean	Std. Dev.
2528.125	37.729
Angle (deg)	110
Gate  No.	Time [ms]	Counts
0	20	1882
1	40	1863
2	60	1861
3	80	1843
4	100	1876
5	120	1812
6	140	1975
7	160	1848
8	180	1881
9	200	1860
10	220	1801
11	240	1865
12	260	1890
13	280	1873
14	300	1838
15	320	1933
16	340	1794
17	360	1877
18	380	1829
19	400	1858
20	420	1938
21	440	1827
22	460	1779
23	480	1897
24	500	1862
25	520	1887
26	540	1937
27	560	1881
28	580	1852
29	600	1924
30	620	1875
31	640	1850
32	660	1854
33	680	1797
34	700	1934
35	720	1835
36	740	1795
37	760	1863
38	780	1901
39	800	1935
Mean	Std. Dev.
1867.050	45.149
Angle (deg)	120
Gate  No.	Time [ms]	Counts
0	20	576
1	40	585
2	60	561
3	80	568
4	100	553
5	120	593
6	140	626
7	160	589
8	180	628
9	200	590
10	220	557
11	240	576
12	260	622
13	280	631
14	300	593
15	320	647
16	340	578
17	360	559
18	380	562
19	400	565
20	420	595
21	440	614
22	460	568
23	480	583
24	500	590
25	520	621
26	540	557
27	560	572
28	580	569
29	600	552
30	620	618
31	640	596
32	660	575
33	680	602
34	700	623
35	720	566
36	740	611
37	760	536
38	780	579
39	800	595
Mean	Std. Dev.
587.025	26.225
Angle (deg)	130
Gate  No.	Time [ms]	Counts
0	20	138
1	40	130
2	60	111
3	80	153
4	100	113
5	120	120
6	140	127
7	160	114
8	180	116
9	200	133
10	220	127
11	240	138
12	260	123
13	280	129
14	300	128
15	320	151
16	340	146
17	360	132
18	380	146
19	400	170
20	420	122
21	440	142
22	460	129
23	480	115
24	500	147
25	520	133
26	540	134
27	560	143
28	580	136
29	600	116
30	620	116
31	640	128
32	660	118
33	680	142
34	700	120
35	720	124
36	740	134
37	760	158
38	780	121
39	800	130
Mean	Std. Dev.
131.325	13.474
Angle (deg)	140
Gate  No.	Time [ms]	Counts
0	20	400
1	40	471
2	60	428
3	80	409
4	100	423
5	120	427
6	140	379
7	160	400
8	180	411
9	200	406
10	220	413
11	240	477
12	260	414
13	280	421
14	300	401
15	320	417
16	340	392
17	360	395
18	380	399
19	400	435
20	420	443
21	440	414
22	460	418
23	480	398
24	500	401
25	520	409
26	540	414
27	560	410
28	580	403
29	600	420
30	620	410
31	640	421
32	660	412
33	680	398
34	700	443
35	720	427
36	740	422
37	760	405
38	780	427
39	800	396
Mean	Std. Dev.
415.225	19.289
Angle (deg)	150
Gate  No.	Time [ms]	Counts
0	20	401
1	40	436
2	60	444
3	80	472
4	100	464
5	120	427
6	140	441
7	160	456
8	180	435
9	200	390
10	220	404
11	240	417
12	260	392
13	280	429
14	300	400
15	320	396
16	340	414
17	360	458
18	380	418
19	400	429
20	420	436
21	440	414
22	460	394
23	480	428
24	500	444
25	520	443
26	540	444
27	560	422
28	580	411
29	600	406
30	620	423
31	640	419
32	660	433
33	680	402
34	700	452
35	720	441
36	740	410
37	760	417
38	780	434
39	800	414
Mean	Std. Dev.
425.250	20.641
Angle (deg)	160
Gate  No.	Time [ms]	Counts
0	20	100
1	40	141
2	60	103
3	80	97
4	100	133
5	120	109
6	140	128
7	160	114
8	180	103
9	200	112
10	220	109
11	240	136
12	260	101
13	280	125
14	300	125
15	320	105
16	340	121
17	360	136
18	380	114
19	400	131
20	420	124
21	440	99
22	460	115
23	480	139
24	500	108
25	520	111
26	540	129
27	560	122
28	580	127
29	600	133
30	620	104
31	640	122
32	660	132
33	680	117
34	700	113
35	720	130
36	740	97
37	760	119
38	780	110
39	800	104
Mean	Std. Dev.
117.450	12.798
Angle (deg)	170
Gate  No.	Time [ms]	Counts
0	20	461
1	40	466
2	60	494
3	80	500
4	100	491
5	120	472
6	140	460
7	160	501
8	180	445
9	200	499
10	220	491
11	240	518
12	260	464
13	280	529
14	300	455
15	320	477
16	340	467
17	360	480
18	380	511
19	400	473
20	420	431
21	440	464
22	460	483
23	480	482
24	500	483
25	520	484
26	540	448
27	560	460
28	580	456
29	600	508
30	620	466
31	640	495
32	660	493
33	680	486
34	700	466
35	720	455
36	740	526
37	760	454
38	780	440
39	800	478
Mean	Std. Dev.
477.800	23.165
Angle (deg)	180
Gate  No.	Time [ms]	Counts
0	20	1717
1	40	1696
2	60	1595
3	80	1685
4	100	1694
5	120	1738
6	140	1627
7	160	1624
8	180	1619
9	200	1642
10	220	1653
11	240	1647
12	260	1609
13	280	1586
14	300	1646
15	320	1623
16	340	1691
17	360	1677
18	380	1691
19	400	1742
20	420	1634
21	440	1636
22	460	1657
23	480	1650
24	500	1733
25	520	1738
26	540	1721
27	560	1654
28	580	1695
29	600	1677
30	620	1614
31	640	1631
32	660	1711
33	680	1668
34	700	1651
35	720	1609
36	740	1654
37	760	1642
38	780	1671
39	800	1659
Mean	Std. Dev.
1662.675	41.251
Angle Itr.	Counts Mean	
0.000	229.930
10.000	403.560
20.000	82.450
30.000	134.610
40.000	87.700
50.000	407.340
60.000	223.420
70.000	99.240
80.000	92.830
90.000	221.990
100.000	1181.190
110.000	2033.710
120.000	417.620
130.000	675.800
140.000	449.980
150.000	2041.150
160.000	1135.160
170.000	517.660
180.000	488.790
190.000	1123.960
200.000	1156.210
210.000	1658.450
220.000	2066.470
230.000	2190.530
240.000	2027.220
250.000	1613.650
260.000	1099.660
270.000	668.020
280.000	414.430
290.000	375.140
300.000	474.280
310.000	612.900
320.000	669.030
330.000	783.850
340.000	661.920
350.000	816.970
360.000	454.660
370.000	726.700
380.000	1173.860
390.000	1659.140
400.000	2038.680
410.000	1750.650
420.000	2517.150
430.000	1854.375
440.000	546.650
450.000	87.600
460.000	400.025
470.000	427.000
480.000	115.850
490.000	503.000
500.000	1759.700
510.000	2528.125
520.000	1867.050
530.000	587.025
540.000	131.325
550.000	415.225
560.000	425.250
570.000	117.450
580.000	477.800
590.000	1662.675
Mean	Std. Dev.
892.730	717.593
